"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2"
"127",2012-01-21,2.5,282.1,55.1,1015.5,114.2,11.5,16.7,8.6,0,126,88890,1.41748228147148,0.25,10.75,25.38,41.38,32.75,NA,NA,1.17
"128",2012-01-22,2.2,241.9,63.6,1010.9,118.4,11.8,18.5,7.3,0,1791,892757,2.00614500922423,0.67,9.04,26.38,39.83,32.46,NA,NA,1.12
"129",2012-01-23,2.9,299.4,56.9,1008,116.8,12.1,16.6,9,0,1312,686578,1.91092636233611,1,16.75,37.46,62.96,22.17,NA,NA,1.58
"130",2012-01-24,1.7,264.7,68.4,1011.9,114.2,10.4,15,7.8,0,1345,736498,1.82620998291917,0.9,58.75,65.46,137.91,14.29,NA,NA,2.29
"131",2012-01-25,1.9,264.8,66.6,1010,123,10,15.8,6.2,0,1345,741333,1.81429937693317,0.68,47.17,71.58,143.42,12.38,NA,NA,3.29
"132",2012-01-26,1.4,187.4,69.6,1008.2,109.5,10,14.8,4.9,0,1182,593431,1.99180696660606,0.42,19.42,55.08,84.38,20.92,NA,NA,1.83
"133",2012-01-27,1.6,120.8,68.8,1011.8,51.3,10.2,12.6,7.2,0,258,169549,1.52168399695663,0.46,14.33,43.54,65,10.83,NA,NA,1.25
"134",2012-01-28,1.5,233.4,80.5,1013,19.2,7.9,9.8,5.8,1.6,145,99723,1.45402765660881,0.5,8.33,34.38,46.75,29.62,NA,NA,1.08
"135",2012-01-29,1.9,245.7,63.2,1008.2,85,6.2,10.5,3.2,0,1962,964805,2.03357155072787,0.8,17.08,41.29,67.17,28.96,NA,NA,2.62
"136",2012-01-30,1.9,287.5,42.2,1011.5,135.8,6.7,11.5,2.3,0,1577,857475,1.83912067407213,0.62,16.29,40.08,64.5,29.12,NA,NA,2.29
"137",2012-01-31,2.7,256.1,48.5,1007.6,71.6,7.1,11.1,4.1,0,1441,809233,1.78069851328357,0.57,17.57,52.81,79.29,17.62,NA,NA,1.86
"138",2012-02-01,2,160.5,83,1003.1,13.8,5.9,7.5,2.9,6.9,1203,697658,1.72434057948164,0.4,9.04,34.21,47.83,24,NA,NA,1.25
"139",2012-02-02,2,193.8,79.5,1002.3,35.2,2.1,2.9,1.1,0.9,1225,657480,1.86317454523332,0.57,5.38,26.88,34.54,40.21,NA,NA,1.46
"140",2012-02-03,3.6,288.6,49.9,1007.8,135.5,1,4,-1.8,0,281,185417,1.51550289347794,1.02,5.17,19.17,26.75,63.12,NA,NA,1.17
"141",2012-02-04,3.7,284.8,23.4,1012.9,149.9,1.7,6.7,-1.7,0,96,69660,1.37812230835487,0.45,3.08,23.92,28.33,52.42,NA,NA,1.08
"142",2012-02-05,2.5,224.5,41.7,1013,57,2.5,6,-1.2,0,2536,1281926,1.97827331686852,0.91,15.38,41.08,64.46,36.92,NA,NA,1.04
"143",2012-02-06,2.2,209,37.9,1010.1,150.9,6.5,13.5,-0.8,0,2017,1063775,1.89607764799887,0.83,9.75,35.79,50.08,50.67,NA,NA,1.04
"144",2012-02-07,2.6,236.2,18.2,1005.4,155.9,6.2,12.1,1.6,0,1845,1029534,1.79207291842717,0.75,6.04,29.29,38.21,51.67,NA,NA,1.17
"145",2012-02-08,2.9,312.5,20.9,1011.9,113,3.5,7,0.4,0,1815,992074,1.82950062192941,0.65,6.12,24,32.83,46.5,NA,NA,1.38
"146",2012-02-09,5,299.6,38.3,1014.5,152.3,4.6,10.3,-0.5,0,1664,906624,1.83538048849358,0.37,7.46,39.71,50.96,41.04,NA,NA,1.21
"147",2012-02-10,3.5,263,46.4,1008.9,151.6,6.3,11,2.3,0,348,244670,1.42232394654024,0.49,3.12,21.29,25.75,62.61,NA,NA,1.83
"148",2012-02-11,4,246.5,30,1008.2,169.1,4.7,9.6,0.9,0,197,129509,1.52112980565057,0.47,4.42,27.08,33.33,55.58,NA,NA,2.08
"149",2012-02-12,2.4,217.2,48.9,1010.5,159,2.8,7.2,0.1,0.3,3017,1459167,2.06761803138366,1.24,17.58,48.29,74.75,44.5,NA,NA,2.04
"150",2012-02-13,2.5,231.4,36.3,1011.3,158.9,4.7,9.5,-0.2,0,2169,1118082,1.93992927173499,0.87,8.62,43.42,56.21,42.12,NA,NA,2.33
"151",2012-02-14,1.8,191.6,52.2,1008.1,112.1,6.8,10.2,3.2,0,2094,1115618,1.87698656708658,0.7,8.55,44.85,57.45,31.76,NA,NA,2.14
"152",2012-02-15,3.4,249.8,48.5,1011.5,168.2,7.8,13.9,2.9,0,1935,1086075,1.78164491402527,1.46,14.12,47.54,68.58,37.12,NA,NA,2.62
"153",2012-02-16,2.8,198.1,51.6,1010.1,168.6,10,15.4,4.9,0,1854,1007891,1.83948462680984,0.2,12.38,50.17,68.79,31.54,NA,NA,2.88
"154",2012-02-17,1.8,165.1,69.8,1014.1,106.2,9.9,13.9,6.7,0,406,277287,1.4641869254599,0.25,6.83,42.83,52.83,38.08,NA,NA,3
"155",2012-02-18,2.3,275,63.6,1011.5,164,8.7,13.7,4.9,0,205,149234,1.37368160070761,0.32,9.83,43.46,58.17,37.08,NA,NA,2.08
"156",2012-02-19,1.2,134.2,75.8,1011.4,60,8.7,12.4,5.4,0,2997,1507773,1.98769973994759,0.84,8.5,40.17,52.83,40.58,NA,NA,3.5
"157",2012-02-20,2.5,209.5,48.7,1014.5,173.8,8.9,14,4.9,0,2173,1167470,1.86128979759651,0.33,16.88,56.58,81.96,32.62,NA,NA,3.08
