"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2","data"
"122",2012-01-16,NA,NA,70.2083333333333,NA,NA,9.54583333333333,11.3,7,NA,1574,831792,1.89229999807644,NA,30.62,55.17,101.79,NA,NA,NA,NA,2012-01-16
"123",2012-01-17,NA,NA,71.25,NA,NA,10.8041666666667,13.7,7.4,NA,1272,684577,1.85808170592935,NA,29.54,59.71,104.71,NA,NA,NA,NA,2012-01-17
"124",2012-01-18,NA,NA,70.9166666666667,NA,NA,8.37083333333334,12.4,5.3,NA,1195,679011,1.75991257873584,NA,56.88,66.42,152.96,NA,NA,NA,NA,2012-01-18
"125",2012-01-19,NA,NA,65,NA,NA,9.10416666666667,14.2,3.7,NA,1090,633705,1.72004323778414,NA,61.5,63.62,157.25,NA,NA,NA,NA,2012-01-19
"126",2012-01-20,NA,NA,67.0833333333333,NA,NA,10.6416666666667,15,7.5,NA,1107,587070,1.8856354438142,NA,70.5,65,172.42,NA,NA,NA,NA,2012-01-20
"127",2012-01-21,NA,NA,67.6666666666667,NA,NA,10.275,15.8,7.3,NA,200,129335,1.54637182510535,NA,42.83,60.5,125.71,NA,NA,NA,NA,2012-01-21
"128",2012-01-22,NA,NA,69.4166666666667,NA,NA,11.4041666666667,16.5,7.6,NA,126,88890,1.41748228147148,NA,35.17,46.5,99.75,NA,NA,NA,NA,2012-01-22
"129",2012-01-23,NA,NA,71.0833333333333,NA,NA,10.8875,15.8,8.3,NA,1791,892757,2.00614500922423,NA,39.79,58.79,119.33,NA,NA,NA,NA,2012-01-23
"130",2012-01-24,NA,NA,70.5833333333333,NA,NA,10.3375,14.1,7.6,NA,1312,686578,1.91092636233611,NA,49.48,61,136.43,NA,NA,NA,NA,2012-01-24
"131",2012-01-25,NA,NA,70.2916666666667,NA,NA,9.54166666666666,15.3,5.7,NA,1345,736498,1.82620998291917,NA,74.04,73,185.67,NA,NA,NA,NA,2012-01-25
