,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10
95,2011-12-20,824.375,318.666.666.666.667,682.916.666.666.667,971.054.166.666.667,719.166.666.666.667,7.125,10.2,3.8,0,1222,661136,184.833.377.701.411,NA,NA,NA,NA,NA
96,2011-12-21,471.666.666.666.667,273.958.333.333.333,662.291.666.666.667,972.377.083.333.333,508.541.666.666.667,108.708.333.333.333,13.2,9.2,0,1120,626043,178.901.449.261.472,NA,NA,NA,NA,NA
97,2011-12-22,840.208.333.333.333,234.729.166.666.667,612.291.666.666.667,97.559.375,940.833.333.333.333,115.291.666.666.667,14.3,9.5,0,968,562793,171.999.296.366.515,NA,NA,NA,NA,NA
98,2011-12-23,855.208.333.333.333,300.041.666.666.667,614.375,975.625,104.895.833.333.333,966.458.333.333.334,15,6.4,0,966,505145,191.232.220.451.554,NA,NA,NA,NA,NA
99,2011-12-24,526.458.333.333.333,2.624.375,674.375,9.793.125,846.458.333.333.333,821.041.666.666.667,11.5,5.9,0,223,155141,143.740.210.518.174,NA,NA,NA,NA,NA
100,2011-12-25,406.666.666.666.667,188.083.333.333.333,503.958.333.333.333,98.298.125,103.020.833.333.333,7.7625,12.6,5.5,0,115,73334,156.816.756.211.307,NA,NA,NA,NA,NA
101,2011-12-26,2.3375,175.145.833.333.333,502.291.666.666.667,985.564.583.333.333,99.75,811.666.666.666.667,11.9,6.2,0,102,68815,148.223.497.783.913,NA,NA,NA,NA,NA
102,2011-12-27,537.708.333.333.333,412.291.666.666.667,471.666.666.666.667,984.160.416.666.667,750.625,945.416.666.666.666,12.6,7.5,0,1386,707218,1.959.791.747.382,NA,NA,NA,NA,NA
103,2011-12-28,507.291.666.666.667,276.625,500.416.666.666.667,9.813.625,1.054.375,906.458.333.333.333,13.5,6.5,0,1121,602697,185.997.275.579.603,NA,NA,NA,NA,NA
104,2011-12-29,558.958.333.333.333,253.229.166.666.667,557.708.333.333.333,978.527.083.333.334,99.75,7.85,11.7,5.8,0,1228,670541,183.135.706.839.701,NA,NA,NA,NA,NA
105,2011-12-30,622.083.333.333.333,299.291.666.666.667,528.333.333.333.333,97.644.375,1.023.125,717.708.333.333.333,11.3,3.7,0,1007,541662,185.909.293.987.764,NA,NA,NA,NA,NA
106,2011-12-31,744.583.333.333.333,298.020.833.333.333,619.166.666.666.667,975.079.166.666.667,102.416.666.666.667,9.7625,14.4,6,0,206,153069,134.579.830.011.302,NA,NA,NA,NA,NA
107,2012-01-01,649.166.666.666.667,280.083.333.333.333,640.416.666.666.667,97.469.375,102.354.166.666.667,117.645.833.333.333,16.4,9.2,0,118,80462,146.653.078.471.825,NA,NA,NA,NA,NA
108,2012-01-02,480.625,2.823.125,545.833.333.333.333,972.491.666.666.667,945.833.333.333.333,1.063.125,13.9,8.1,0.1,1444,795223,181.584.285.162.778,NA,NA,NA,NA,NA
109,2012-01-03,449.583.333.333.333,290.166.666.666.667,56,979.929.166.666.667,96.625,826.875,12.2,6.2,0,1206,718523,167.844.313.960.722,NA,NA,NA,NA,NA
110,2012-01-04,513.125,255.541.666.666.667,700.416.666.666.667,978.758.333.333.333,927.291.666.666.667,826.875,13.9,4.3,0,1114,646980,172.184.611.579.956,NA,NA,NA,NA,NA
111,2012-01-05,750.416.666.666.667,300.25,512.916.666.666.667,971.908.333.333.333,211.666.666.666.667,930.625,13.4,6.2,0,837,480117,174.332.506.451.552,NA,NA,NA,NA,NA
112,2012-01-06,455.833.333.333.333,245.416.666.666.667,673.958.333.333.333,9.725.375,775.833.333.333.333,10.4125,12.8,7.6,0,121,98557,122.771.594.102.905,NA,NA,NA,NA,NA
113,2012-01-07,469.166.666.666.667,281.291.666.666.667,511.458.333.333.333,978.075,110.625,826.875,12.3,5.1,0,285,197910,144.004.850.689.707,NA,NA,NA,NA,NA
114,2012-01-08,637.916.666.666.667,286.354.166.666.667,655.208.333.333.333,9.764.375,108.604.166.666.667,785.833.333.333.333,10.5,5.6,0,141,111291,126.694.880.987.681,NA,NA,NA,NA,NA
115,2012-01-09,548.958.333.333.333,275.791.666.666.667,608.125,97.854.375,106.229.166.666.667,875.833.333.333.333,13,5.9,0,1481,848692,174.503.824.709.082,NA,NA,NA,NA,NA
116,2012-01-10,343.541.666.666.667,2.233.125,63.125,980.929.166.666.667,106.854.166.666.667,926.875,13.7,7.5,0,1117,666588,167.569.773.233.242,NA,NA,NA,NA,NA
117,2012-01-11,332.083.333.333.333,160.645.833.333.333,775.625,982.520.833.333.333,925.833.333.333.333,847.708.333.333.333,12.5,6.1,0,1090,668006,163.172.187.076.164,NA,NA,NA,NA,NA
118,2012-01-12,613.541.666.666.667,262.25,727.708.333.333.333,980.833.333.333.333,1.081.875,8.3125,13,5.9,0,1049,621005,168.919.734.945.773,NA,NA,NA,NA,NA
119,2012-01-13,563.333.333.333.333,300.229.166.666.667,417.291.666.666.667,97.548.125,1.169.375,8.275,13.4,5,0,916,541464,169.170.988.283.616,NA,NA,NA,NA,NA
120,2012-01-14,2.1875,122.375,70.625,970.516.666.666.667,697.291.666.666.667,6.85,10,4.8,0,207,145443,142.323.796.951.383,NA,NA,NA,NA,NA
121,2012-01-15,1.8875,967.708.333.333.333,774.583.333.333.333,968.208.333.333.333,914.166.666.666.667,668.125,10,5,0,151,101482,148.794.860.172.247,NA,NA,NA,NA,NA
122,2012-01-16,6.0125,530.625,790.833.333.333.333,966.852.083.333.333,490.208.333.333.333,662.708.333.333.333,8.2,5.6,1.5,1574,831792,189.229.999.807.644,NA,NA,NA,NA,NA
123,2012-01-17,491.666.666.666.667,952.083.333.333.333,753.541.666.666.667,977.579.166.666.667,107.520.833.333.333,820.208.333.333.333,11.9,6.8,0.1,1272,684577,185.808.170.592.935,NA,NA,NA,NA,NA
124,2012-01-18,3.85,285.375,647.291.666.666.667,982.979.166.666.667,118.333.333.333.333,734.583.333.333.333,12.5,4.7,0,1195,679011,175.991.257.873.584,NA,NA,NA,NA,NA
125,2012-01-19,6.225,283.270.833.333.333,579.375,98.444.375,114.416.666.666.667,7.8625,13.1,5.2,0,1090,633705,172.004.323.778.414,NA,NA,NA,NA,NA
126,2012-01-20,508.541.666.666.667,245.104.166.666.667,575.833.333.333.333,979.266.666.666.667,113.604.166.666.667,103.333.333.333.333,15.2,6.1,0,1107,587070,18.856.354.438.142,NA,NA,NA,NA,NA
127,2012-01-21,645.833.333.333.333,2.975.625,51,976.383.333.333.333,1.199.375,106.520.833.333.333,15,7.9,0,200,129335,154.637.182.510.535,NA,NA,NA,NA,NA
128,2012-01-22,670.208.333.333.333,297.395.833.333.333,647.083.333.333.333,971.960.416.666.667,123.729.166.666.667,102.583.333.333.333,14.9,7.6,0,126,88890,141.748.228.147.148,NA,NA,NA,NA,NA
129,2012-01-23,892.708.333.333.333,312.229.166.666.667,588.333.333.333.333,969.227.083.333.333,119.291.666.666.667,103.770.833.333.333,14.7,7.1,0,1791,892757,200.614.500.922.423,NA,NA,NA,NA,NA
130,2012-01-24,410.208.333.333.333,2.494.375,692.916.666.666.667,97.278.125,125.958.333.333.333,8.8375,13,6.4,0,1312,686578,191.092.636.233.611,NA,NA,NA,NA,NA
131,2012-01-25,420.833.333.333.334,274.25,606.666.666.666.667,970.864.583.333.333,1.284.375,957.708.333.333.333,16,5.4,0,1345,736498,182.620.998.291.917,NA,NA,NA,NA,NA
132,2012-01-26,332.291.666.666.667,1.819.375,685.208.333.333.333,969.127.083.333.333,1.160.625,905.833.333.333.333,13.7,7,0,1345,741333,181.429.937.693.317,NA,NA,NA,NA,NA
133,2012-01-27,389.375,76,699.166.666.666.667,972.572.916.666.666,504.375,8.425,10.7,7.2,0,1182,593431,199.180.696.660.606,NA,NA,NA,NA,NA
134,2012-01-28,296.875,2.233.125,845.625,973.408.333.333.333,217.083.333.333.333,5.95,8.3,4.4,3.9,258,169549,152.168.399.695.663,NA,NA,NA,NA,NA
135,2012-01-29,425.833.333.333.333,229.729.166.666.667,65.375,968.458.333.333.333,882.708.333.333.333,420.208.333.333.333,7.3,2.1,0.1,145,99723,145.402.765.660.881,NA,NA,NA,NA,NA
136,2012-01-30,4.1875,278.875,389.375,971.777.083.333.333,140.583.333.333.333,548.541.666.666.667,10.5,1.1,0,1962,964805,203.357.155.072.787,NA,NA,NA,NA,NA
137,2012-01-31,434.166.666.666.667,2.244.375,51.625,967.95,701.666.666.666.667,4.9625,8.1,2.6,0,1577,857475,183.912.067.407.213,NA,NA,NA,NA,NA
